"route","stop_order","stop","lat","lon","geocode_status","display_name"
"26","8","تجنيد","29.9813079","31.1145661","matched","منطقة تجنيد و تعبئة الجيزة, الجيزة, مصر"
"26","9","محكمة","30.0243306","31.2426592","matched","محكمة جنوب القاهرة الإبتدائية, شارع الشيخ, زينهم, السيدة زينب, القاهرة, 11797, مصر"
"26","10","سفير","29.9942486","31.3187478","matched","سفير, شارع محمد محمود, الحى 6, القاهرة, 11571, مصر"
"26","11","نادي الجلاء","30.0958581","31.3457026","matched","نادي الجلاء, كوبري الجلاء, قسم مصر الجديدة, مصر الجديدة, القاهرة, 11736, مصر"
"26","12","السبع عمارات","29.7884293","31.3115761","matched","شارع السبع عمارات, حى السبع عمارات, حلوان, القاهرة, 11912, مصر"
"26","13","شارع النزهة","30.1168530","31.6135077","matched","شارع النزهة, مدينة الشروق, ماي فير, القاهرة, 19511, مصر"
"26","14","الرقابة الإدارية","","","not_found",""
"26","15","اول عباس","31.2665895","32.3103400","matched","شارع الشهيد ملازم اول طيار ابراهيم عباس الصياد, ابراهيم حسنين, بورسعيد, 42529, مصر"
"26","16","ميدان الساعة","30.0691244","31.3383318","matched","ميدان الساعة, مساكن المهندسين, مدينة نصر, القاهرة, 11371, مصر"
"26","17","اول مكرم","30.0590776","31.3459629","matched","National Motors Egypt, 39, شارع مكرم عبيد, المنطقة السادسة, مدينة نصر, القاهرة, 11765, مصر"
"26","18","معهد الخدمة الاجتماعية","","","not_found",""
"26","19","احمد فخري","30.0630675","31.3493998","matched","شارع احمد فخري, المنطقة السادسة, مدينة نصر, القاهرة, 11391, مصر"
"26","20","النادي الأهلي","30.0712332","31.3577033","matched","النادي الأهلى, شارع حسن مأمون, مدينة نصر, القاهرة, 11391, مصر"
"26","21","مساكن الشروق","30.1547484","31.6206707","matched","مساكن الرائد, الشروق, القاهرة, مصر"
"115","1","مساكن الوحدة العربية","","","not_found",""
"115","2","أبو الهنا","30.0471991","31.2912928","matched","شارع هاشم ابو الهنا, ثان مدينة نصر, القاهرة, 11684, مصر"
"115","3","شارع الجديد","30.1351507","31.3520735","matched","شارع الجديد, مساكن عين شمس, القاهرة, 11781, مصر"
"115","4","ك مسطرد","","","not_found",""
"115","5","الرشاح","30.1543294","31.3983755","matched","شارع الرشاح, القاهرة, 11773, مصر"
"115","6","التعاون","30.0768250","31.3116348","matched","التعاون, شارع صلاح سالم, الشركات, منشية البكرى, الدمرداش, القاهرة, 11811, مصر"
"115","7","المطرية","30.1213931","31.3139257","matched","المطرية, شارع ترعه الجبل, شجره مريم, عين شمس, القاهرة, 11718, مصر"
